id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_id,player_of_match,umpire1,umpire2,umpire3,,,
132,IPL-2009,Port Elizabeth,27-04-2009,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,92,0,0,SR Tendulkar,BG Jerling,RB Tiffin,,,,
133,IPL-2009,Centurion,28-04-2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Rajasthan Royals,0,5,0,YK Pathan,GAV Baxter,RE Koertzen,,,,
134,IPL-2009,Durban,29-04-2009,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,0,5,0,MV Boucher,MR Benson,TH Wijewardene,,,,
135,IPL-2009,Durban,29-04-2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Kings XI Punjab,3,0,0,KC Sangakkara,MR Benson,SL Shastri,,,,
136,IPL-2009,Centurion,30-04-2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,0,DP Nannes,GAV Baxter,AM Saheba,,,,
137,IPL-2009,Centurion,30-04-2009,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,38,0,0,SK Raina,GAV Baxter,RE Koertzen,,,,
138,IPL-2009,East London,2009-01-05,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,9,0,0,JP Duminy,M Erasmus,SK Tarapore,,,,
139,IPL-2009,Durban,2009-01-05,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,8,0,0,Yuvraj Singh,HDPK Dharmasena,S Ravi,,,,
140,IPL-2009,Port Elizabeth,2009-02-05,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,3,0,YK Pathan,S Asnani,BG Jerling,,,,
141,IPL-2009,Johannesburg,2009-02-05,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,18,0,0,SB Jakati,DJ Harper,RE Koertzen,,,,
142,IPL-2009,Port Elizabeth,2009-03-05,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kings XI Punjab,0,6,0,DPMD Jayawardene,S Asnani,MR Benson,,,,
143,IPL-2009,Johannesburg,2009-03-05,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,9,0,JH Kallis,RE Koertzen,TH Wijewardene,,,,
144,IPL-2009,East London,2009-04-05,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,78,0,0,MS Dhoni,BR Doctrove,M Erasmus,,,,
145,IPL-2009,Durban,2009-05-05,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Rajasthan Royals,78,0,0,GC Smith,SS Hazare,IL Howell,,,,
146,IPL-2009,Durban,2009-05-05,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,0,9,0,G Gambhir,GAV Baxter,IL Howell,,,,
147,IPL-2009,Centurion,2009-06-05,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,19,0,0,RG Sharma,MR Benson,HDPK Dharmasena,,,,
148,IPL-2009,Centurion,2009-07-05,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,0,A Singh,K Hariharan,DJ Harper,,,,
149,IPL-2009,Centurion,2009-07-05,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,1,Chennai Super Kings,12,0,0,ML Hayden,DJ Harper,TH Wijewardene,,,,
150,IPL-2009,East London,2009-08-05,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,0,7,0,A Nehra,M Erasmus,SK Tarapore,,,,
151,IPL-2009,Kimberley,2009-09-05,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,3,0,DPMD Jayawardene,GAV Baxter,AM Saheba,,,,
152,IPL-2009,Kimberley,2009-09-05,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,7,0,S Badrinath,GAV Baxter,HDPK Dharmasena,,,,
153,IPL-2009,Port Elizabeth,2009-10-05,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,16,0,0,JP Duminy,BR Doctrove,BG Jerling,,,,
154,IPL-2009,Johannesburg,2009-10-05,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,0,A Mishra,SL Shastri,RB Tiffin,,,,
155,IPL-2009,Kimberley,2009-11-05,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Deccan Chargers,53,0,0,DR Smith,GAV Baxter,HDPK Dharmasena,,,,
156,IPL-2009,Centurion,2009-12-05,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,6,0,LRPL Taylor,M Erasmus,SS Hazare,,,,
157,IPL-2009,Centurion,2009-12-05,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,0,Mumbai Indians,0,8,0,Harbhajan Singh,SS Hazare,RE Koertzen,,,,
158,IPL-2009,Durban,13-05-2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Delhi Daredevils,12,0,0,R Bhatia,DJ Harper,SL Shastri,,,,
159,IPL-2009,Durban,14-05-2009,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,0,2,0,LRPL Taylor,BR Doctrove,DJ Harper,,,,
160,IPL-2009,Durban,14-05-2009,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,0,SK Warne,BR Doctrove,DJ Harper,,,,
161,IPL-2009,Bloemfontein,15-05-2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,0,B Lee,HDPK Dharmasena,IL Howell,,,,
162,IPL-2009,Port Elizabeth,16-05-2009,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,7,0,ML Hayden,SK Tarapore,SJA Taufel,,,,
163,IPL-2009,Johannesburg,16-05-2009,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,0,RG Sharma,RE Koertzen,S Ravi,,,,
164,IPL-2009,Johannesburg,17-05-2009,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Kings XI Punjab,1,0,0,Yuvraj Singh,S Ravi,RB Tiffin,,,,
165,IPL-2009,Bloemfontein,17-05-2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Delhi Daredevils,14,0,0,AB de Villiers,SS Hazare,IL Howell,,,,
166,IPL-2009,Centurion,18-05-2009,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,7,0,BJ Hodge,SJA Taufel,RB Tiffin,,,,
167,IPL-2009,Johannesburg,19-05-2009,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,Royal Challengers Bangalore,0,7,0,JH Kallis,IL Howell,RB Tiffin,,,,
168,IPL-2009,Durban,20-05-2009,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,0,LR Shukla,BG Jerling,SJA Taufel,,,,
169,IPL-2009,Durban,20-05-2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,0,M Muralitharan,BG Jerling,SJA Taufel,,,,
170,IPL-2009,Centurion,21-05-2009,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,4,0,V Sehwag,IL Howell,S Ravi,,,,
171,IPL-2009,Centurion,21-05-2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,12,0,0,MK Pandey,IL Howell,S Ravi,,,,
172,IPL-2009,Centurion,22-05-2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,0,AC Gilchrist,BR Doctrove,DJ Harper,,,,
173,IPL-2009,Johannesburg,23-05-2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,6,0,MK Pandey,RE Koertzen,SJA Taufel,,,,
174,IPL-2009,Johannesburg,24-05-2009,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,6,0,0,A Kumble,RE Koertzen,SJA Taufel,,,,
175,IPL-2010,Mumbai,2010-12-03,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Kolkata Knight Riders,11,0,0,AD Mathews,RE Koertzen,RB Tiffin,,,,
176,IPL-2010,Mumbai,13-03-2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,4,0,0,YK Pathan,RE Koertzen,RB Tiffin,,,,
177,IPL-2010,Chandigarh,13-03-2010,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,0,G Gambhir,BR Doctrove,S Ravi,,,,
178,IPL-2010,Kolkata,14-03-2010,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,0,MK Tiwary,HDPK Dharmasena,AM Saheba,,,,
179,IPL-2010,Chennai,14-03-2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Deccan Chargers,31,0,0,WPUJC Vaas,K Hariharan,DJ Harper,,,,
180,IPL-2010,Ahmedabad,15-03-2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,0,V Sehwag,BG Jerling,RE Koertzen,,,,
181,IPL-2010,Bangalore,16-03-2010,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,Royal Challengers Bangalore,0,8,0,JH Kallis,S Das,DJ Harper,,,,
182,IPL-2010,Kolkata,16-03-2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,55,0,0,MS Dhoni,HDPK Dharmasena,AM Saheba,,,,
183,IPL-2010,Delhi,17-03-2010,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,98,0,0,SR Tendulkar,BR Doctrove,SK Tarapore,,,,
184,IPL-2010,Bangalore,18-03-2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,10,0,JH Kallis,K Hariharan,DJ Harper,,,,
185,IPL-2010,Delhi,19-03-2010,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,Chennai Super Kings,0,5,0,ML Hayden,BR Doctrove,SK Tarapore,,,,
186,IPL-2010,Cuttack,19-03-2010,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Deccan Chargers,6,0,0,A Symonds,BF Bowden,M Erasmus,,,,
187,IPL-2010,Ahmedabad,20-03-2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,34,0,0,AA Jhunjhunwala,RE Koertzen,RB Tiffin,,,,
188,IPL-2010,Mumbai,20-03-2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,7,0,JH Kallis,HDPK Dharmasena,SS Hazare,,,,
189,IPL-2010,Cuttack,21-03-2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Deccan Chargers,10,0,0,A Symonds,BF Bowden,M Erasmus,,,,
190,IPL-2010,Chennai,21-03-2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,tie,0,Kings XI Punjab,0,0,0,J Theron,K Hariharan,DJ Harper,,,,
191,IPL-2010,Mumbai,22-03-2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,7,0,SR Tendulkar,SS Hazare,SJA Taufel,,,,
192,IPL-2010,Bangalore,23-03-2010,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,36,0,0,RV Uthappa,RE Koertzen,RB Tiffin,,,,
193,IPL-2010,Chandigarh,24-03-2010,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Rajasthan Royals,31,0,0,AC Voges,BR Doctrove,SK Tarapore,,,,
194,IPL-2010,Mumbai,25-03-2010,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,0,SR Tendulkar,BF Bowden,AM Saheba,,,,
195,IPL-2010,Ahmedabad,26-03-2010,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,8,0,YK Pathan,HDPK Dharmasena,SJA Taufel,,,,
196,IPL-2010,Chandigarh,27-03-2010,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,39,0,0,MK Tiwary,BR Doctrove,S Ravi,,,,
197,IPL-2010,Bangalore,25-03-2010,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,17,0,0,KM Jadhav,BG Jerling,RE Koertzen,,,,
198,IPL-2010,Ahmedabad,28-03-2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,17,0,0,NV Ojha,SS Hazare,SJA Taufel,,,,
199,IPL-2010,Mumbai,28-03-2010,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,41,0,0,Harbhajan Singh,S Das,K Hariharan,,,,
200,IPL-2010,Delhi,29-03-2010,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Delhi Daredevils,40,0,0,DA Warner,SS Hazare,SJA Taufel,,,,
201,IPL-2010,Mumbai,30-03-2010,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,0,SL Malinga,BR Doctrove,SK Tarapore,,,,
202,IPL-2010,Chennai,31-03-2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,5,0,M Vijay,BG Jerling,RE Koertzen,,,,
203,IPL-2010,Delhi,31-03-2010,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Delhi Daredevils,67,0,0,KD Karthik,HDPK Dharmasena,SJA Taufel,,,,
204,IPL-2010,Kolkata,2010-01-04,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,24,0,0,SC Ganguly,K Hariharan,DJ Harper,,,,
205,IPL-2010,Chandigarh,2010-02-04,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,Royal Challengers Bangalore,0,6,0,KP Pietersen,BF Bowden,M Erasmus,,,,
206,IPL-2010,Chennai,2010-03-04,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,23,0,0,M Vijay,RE Koertzen,RB Tiffin,,,,
207,IPL-2010,Mumbai,2010-03-04,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,normal,0,Mumbai Indians,63,0,0,AT Rayudu,BR Doctrove,S Ravi,,,,
208,IPL-2010,Kolkata,2010-04-04,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kings XI Punjab,0,8,0,DPMD Jayawardene,S Asnani,DJ Harper,,,,
209,IPL-2010,Delhi,2010-04-04,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,Delhi Daredevils,37,0,0,PD Collingwood,BF Bowden,M Erasmus,,,,
210,IPL-2010,Nagpur,2010-05-04,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,0,SK Warne,HDPK Dharmasena,SJA Taufel,,,,
211,IPL-2010,Chennai,2010-06-04,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,0,SK Raina,S Asnani,DJ Harper,,,,
212,IPL-2010,Jaipur,2010-07-04,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,0,9,0,MJ Lumb,S Ravi,SK Tarapore,,,,
213,IPL-2010,Kolkata,2010-07-04,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,14,0,0,SC Ganguly,BG Jerling,RE Koertzen,,,,
214,IPL-2010,Bangalore,2010-08-04,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,0,TL Suman,S Asnani,DJ Harper,,,,
215,IPL-2010,Chandigarh,2010-09-04,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Kings XI Punjab,0,6,0,KC Sangakkara,M Erasmus,AM Saheba,,,,
216,IPL-2010,Nagpur,2010-10-04,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Deccan Chargers,0,6,0,RJ Harris,HDPK Dharmasena,SJA Taufel,,,,
217,IPL-2010,Bangalore,2010-10-04,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,0,R Vinay Kumar,K Hariharan,DJ Harper,,,,
218,IPL-2010,Delhi,2010-11-04,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Kings XI Punjab,0,7,0,PP Chawla,BF Bowden,AM Saheba,,,,
219,IPL-2010,Jaipur,2010-11-04,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,37,0,0,SR Tendulkar,BR Doctrove,SK Tarapore,,,,
220,IPL-2010,Nagpur,2010-12-04,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,13,0,0,Harmeet Singh,RE Koertzen,RB Tiffin,,,,
221,IPL-2010,Mumbai,13-04-2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Mumbai Indians,39,0,0,KA Pollard,S Asnani,DJ Harper,,,,
222,IPL-2010,Chennai,13-04-2010,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,9,0,R Ashwin,SS Hazare,SJA Taufel,,,,
223,IPL-2010,Jaipur,14-04-2010,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,0,5,0,KP Pietersen,BR Doctrove,S Ravi,,,,
224,IPL-2010,Chennai,15-04-2010,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,0,6,0,G Gambhir,HDPK Dharmasena,SS Hazare,,,,
225,IPL-2010,Dharamsala,16-04-2010,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,5,0,RG Sharma,M Erasmus,AM Saheba,,,,
226,IPL-2010,Bangalore,17-04-2010,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,57,0,0,R McLaren,HDPK Dharmasena,SJA Taufel,,,,
227,IPL-2010,Kolkata,17-04-2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,8,0,JD Unadkat,BG Jerling,RB Tiffin,,,,
228,IPL-2010,Dharamsala,18-04-2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,0,MS Dhoni,BF Bowden,AM Saheba,,,,
229,IPL-2010,Delhi,18-04-2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Deccan Chargers,11,0,0,A Symonds,BR Doctrove,SK Tarapore,,,,
230,IPL-2010,Kolkata,19-04-2010,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,0,9,0,M Kartik,BG Jerling,RE Koertzen,,,,
231,IPL-2010,Mumbai,21-04-2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,35,0,0,KA Pollard,BR Doctrove,RB Tiffin,,,,
232,IPL-2010,Mumbai,22-04-2010,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,38,0,0,DE Bollinger,BR Doctrove,RB Tiffin,,,,
233,IPL-2010,Mumbai,24-04-2010,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,0,9,0,A Kumble,RE Koertzen,SJA Taufel,,,,
234,IPL-2010,Mumbai,25-04-2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,22,0,0,SK Raina,RE Koertzen,SJA Taufel,,,,
235,IPL-2011,Chennai,2011-08-04,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,2,0,0,S Anirudha,BR Doctrove,PR Reiffel,,,,
236,IPL-2011,Hyderabad,2011-09-04,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,0,SK Trivedi,RE Koertzen,SK Tarapore,,,,
237,IPL-2011,Kochi,2011-09-04,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,Royal Challengers Bangalore,0,6,0,AB de Villiers,HDPK Dharmasena,K Hariharan,,,,
238,IPL-2011,Delhi,2011-10-04,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,Mumbai Indians,0,8,0,SL Malinga,AM Saheba,RB Tiffin,,,,
239,IPL-2011,Mumbai,2011-10-04,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,normal,0,Pune Warriors,0,7,0,SB Wagh,BR Doctrove,PR Reiffel,,,,
240,IPL-2011,Kolkata,2011-11-04,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,9,0,0,JH Kallis,RE Koertzen,SK Tarapore,,,,
241,IPL-2011,Jaipur,2011-12-04,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Rajasthan Royals,0,6,0,SK Warne,Aleem Dar,RB Tiffin,,,,
242,IPL-2011,Bangalore,2011-12-04,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,0,SR Tendulkar,HDPK Dharmasena,AL Hill,,,,
243,IPL-2011,Chandigarh,13-04-2011,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,0,PC Valthaty,Asad Rauf,SL Shastri,,,,
244,IPL-2011,Mumbai,13-04-2011,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,normal,0,Pune Warriors,0,4,0,MD Mishra,S Asnani,PR Reiffel,,,,
245,IPL-2011,Hyderabad,14-04-2011,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,33,0,0,DW Steyn,RE Koertzen,S Ravi,,,,
246,IPL-2011,Jaipur,15-04-2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,0,G Gambhir,Aleem Dar,SS Hazare,,,,
247,IPL-2011,Mumbai,15-04-2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,0,BB McCullum,BR Doctrove,PR Reiffel,,,,
248,IPL-2011,Chennai,16-04-2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,21,0,0,MEK Hussey,HDPK Dharmasena,AL Hill,,,,
249,IPL-2011,Hyderabad,16-04-2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,8,0,PC Valthaty,RE Koertzen,S Ravi,,,,
250,IPL-2011,Mumbai,17-04-2011,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,3,0,Yuvraj Singh,Asad Rauf,AM Saheba,,,,
251,IPL-2011,Kolkata,17-04-2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,0,L Balaji,Aleem Dar,RB Tiffin,,,,
252,IPL-2011,Kochi,18-04-2011,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,1,Kochi Tuskers Kerala,0,7,0,BB McCullum,K Hariharan,AL Hill,,,,
253,IPL-2011,Delhi,19-04-2011,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Deccan Chargers,16,0,0,S Sohal,PR Reiffel,RJ Tucker,,,,
254,IPL-2011,Mumbai,20-04-2011,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,Mumbai Indians,0,7,0,MM Patel,Asad Rauf,AM Saheba,,,,
255,IPL-2011,Kolkata,20-04-2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,6,0,0,DPMD Jayawardene,Aleem Dar,RB Tiffin,,,,
256,IPL-2011,Chandigarh,21-04-2011,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings XI Punjab,48,0,0,SE Marsh,S Asnani,PR Reiffel,,,,
257,IPL-2011,Mumbai,22-04-2011,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,8,0,0,Harbhajan Singh,Asad Rauf,AM Saheba,,,,
258,IPL-2011,Kolkata,22-04-2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,0,CH Gayle,SS Hazare,RB Tiffin,,,,
259,IPL-2011,Delhi,23-04-2011,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Delhi Daredevils,29,0,0,DA Warner,S Asnani,RE Koertzen,,,,
260,IPL-2011,Hyderabad,24-04-2011,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,37,0,0,SL Malinga,HDPK Dharmasena,AL Hill,,,,
261,IPL-2011,Jaipur,24-04-2011,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,0,SK Warne,BR Doctrove,SK Tarapore,,,,
262,IPL-2011,Chennai,25-04-2011,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,Chennai Super Kings,25,0,0,MEK Hussey,Aleem Dar,RB Tiffin,,,,
263,IPL-2011,Delhi,26-04-2011,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,0,V Kohli,S Asnani,RJ Tucker,,,,
264,IPL-2011,Mumbai,27-04-2011,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Chennai Super Kings,0,8,0,DE Bollinger,Asad Rauf,SL Shastri,,,,
265,IPL-2011,Kochi,27-04-2011,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Deccan Chargers,55,0,0,I Sharma,HDPK Dharmasena,AL Hill,,,,
